id_reserva,nombre_cliente,destino,fecha_viaje,correo,plataforma,errores
914,Jose Fuentes,Montevideo,2028-01-02,,Google Flights,correo inválido
920,Carlos Morales,Bogota,,carlos.morales920@gmail.com,Travel Now,fecha_viaje inválida
912,Fernanda Rojas,Santiago,,fernanda.rojas912@gmail.com,Booking,fecha_viaje inválida
1036,Ignacio Herrera,,2026-11-01,ignacio.herrera1036@gmail.com,Despegar,destino vacío
1005,Ana Reyes,Bogota,2026-10-04,sin@dominio,Google Flights,correo inválido
1156,Paula Romero,Madrid,2028-08-28,sin@dominio,Despegar,correo inválido
1111,Jose Rodriguez,Ciudad De Mexico,2028-03-22,correo,Travel Now,correo inválido
945,Ignacio Fernandez,,2027-12-18,ignacio.fernandez945@gmail.com,Despegar,destino vacío
971,Camila Silva,Quito,2026-07-10,sin@dominio,Despegar,correo inválido
1033,Felipe Rojas,La Paz,,felipe.rojas1033@gmail.com,Google Flights,fecha_viaje inválida
924,Maria Vargas,Madrid,2028-09-28,,Despegar,correo inválido
1188,Maria Paredes,Paris,2028-03-22,sin@dominio,Google Flights,correo inválido
1135,Valentina Paredes,,2026-10-24,valentina.paredes1135@gmail.com,Travel Now,destino vacío
1061,Benjamin Rojas,,2027-07-01,benjamin.rojas1061@gmail.com,Kayak,destino vacío
1067,Camila Martinez,,2027-07-03,camila.martinez1067@gmail.com,Travel Now,destino vacío
1137,Juan Reyes,Rio De Janeiro,,juan.reyes1137@gmail.com,Despegar,fecha_viaje inválida
1176,Jose Rojas,,2027-11-14,jose.rojas1176@gmail.com,Kayak,destino vacío
919,Carlos Gomez,,2026-12-10,carlos.gomez919@gmail.com,Kayak,destino vacío
1153,Diego Torres,Madrid,,diego.torres1153@gmail.com,Google Flights,fecha_viaje inválida
1062,Sebastian Sanchez,Lisboa,,sebastian.sanchez1062@gmail.com,Kayak,fecha_viaje inválida
1106,Matias Lopez,Montevideo,2028-04-23,,Booking,correo inválido
1047,Fernanda Romero,Punta Cana,,fernanda.romero1047@gmail.com,Google Flights,fecha_viaje inválida
984,Javiera Sanchez,,2027-09-19,javiera.sanchez984@gmail.com,Google Flights,destino vacío
1021,Matias Martinez,Paris,,matias.martinez1021@gmail.com,Travel Now,fecha_viaje inválida
962,Jose Herrera,,2027-12-21,jose.herrera962@gmail.com,Google Flights,destino vacío
1001,Diego Paredes,,2028-04-23,diego.paredes1001@gmail.com,Kayak,destino vacío
