id_reserva,nombre_cliente,destino,fecha_viaje,correo,plataforma
43,Felipe Martinez,Montevideo,2028-06-29,felipe.martinez43@gmail.com,Booking
300,Javiera Araya,Miami,20-06-2028,javiera.araya300@gmail.com,Kayak
643,Jose Sanchez,Paris,2027/03/15,jose.sanchez643@gmail.com,Travel Now
343,Felipe Reyes,Barcelona,2027-10-10,felipe.reyes343@gmail.com,Travel Now
685,Sofia Torres,Santiago,2028-07-09,sofia.torres685@gmail.com,Travel Now
488,Carlos Gomez,Santiago,2027-01-28,carlos.gomez488@gmail.com,Despegar
560,Javiera Diaz,Paris,2028-02-17,javiera.diaz560@gmail.com,Booking
349,Jose Castro,Buenos Aires,2026-12-07,jose.castro349@gmail.com,Google Flights
494,Sebastian Sanchez,Berlin,2028/09/14,sebastian.sanchez494@gmail.com,Travel Now
914,Jose Fuentes,Montevideo,02-01-2028,,Google Flights
72,Paula Romero,Madrid,2027/04/15,paula.romero72@gmail.com,Despegar
289,Diego Gomez,Miami,2028-06-12,diego.gomez289@gmail.com,Despegar
441,Sofia Rodriguez,Roma,2028-03-08,sofia.rodriguez441@gmail.com,Booking
286,Jose Vargas,Rio de Janeiro,13-06-2028,jose.vargas286@gmail.com,Despegar
920,Carlos Morales,Bogota,fecha_mala,carlos.morales920@gmail.com,Travel Now
833,Daniela Martinez,Madrid,2028-07-16,daniela.martinez833@gmail.com,Despegar
276,Javiera Perez,Madrid,2028-01-03,javiera.perez276@gmail.com,Google Flights
652,Valentina Gomez,Madrid,2027/05/21,valentina.gomez652@gmail.com,Booking
1034,Perez,Buenos Aires,2026-08-18,carlos.perez1034@gmail.com,Kayak
62,Matias Perez,Miami,12-09-2026,matias.perez62@gmail.com,Kayak
987,Reyes,Punta Cana,2027/01/10,paula.reyes987@gmail.com,Despegar
188,Ignacio Araya,Roma,2026/08/21,ignacio.araya188@gmail.com,Booking
259,Catalina Morales,Buenos Aires,2028-06-06,catalina.morales259@gmail.com,Google Flights
34,Jose Fernandez,Miami,2028-04-04,jose.fernandez34@gmail.com,Travel Now
502,Carlos Torres,Quito,18-04-2027,carlos.torres502@gmail.com,Booking
227,Sofia Silva,Berlin,2026-11-23,sofia.silva227@gmail.com,Kayak
496,Valentina Paredes,Buenos Aires,2027/11/14,valentina.paredes496@gmail.com,Despegar
1132,Fuentes,Quito,2028/05/17,benjamin.fuentes1132@gmail.com,Booking
397,Benjamin Fernandez,Quito,2027/11/04,benjamin.fernandez397@gmail.com,Despegar
479,Camila Fuentes,Cancun,2028/09/07,camila.fuentes479@gmail.com,Booking
1057,Torres,La Paz,2027/11/11,paula.torres1057@gmail.com,Kayak
3,Matias Silva,Montevideo,2027/07/26,matias.silva3@gmail.com,Despegar
912,Fernanda Rojas,Santiago,fecha_mala,fernanda.rojas912@gmail.com,Booking
556,Carlos Fernandez,Roma,2026/06/04,carlos.fernandez556@gmail.com,Google Flights
773,Jose Gomez,Ciudad de Mexico,2027-10-01,jose.gomez773@gmail.com,Despegar
708,Valentina Reyes,Miami,10-08-2026,valentina.reyes708@gmail.com,Kayak
559,Sofia Castro,Nueva York,07-11-2026,sofia.castro559@gmail.com,Booking
498,Javiera Diaz,Paris,03-10-2027,javiera.diaz498@gmail.com,Booking
1123,Reyes,Lima,17-09-2028,jose.reyes1123@gmail.com,Despegar
440,Ana Silva,La Paz,2027/04/06,ana.silva440@gmail.com,Kayak
766,Matias Reyes,La Paz,03-04-2027,matias.reyes766@gmail.com,Despegar
531,Camila Reyes,Paris,2027/12/17,camila.reyes531@gmail.com,Travel Now
872,Daniela Torres,Paris,2027-04-10,daniela.torres872@gmail.com,Despegar
1036,Ignacio Herrera,,2026-11-01,ignacio.herrera1036@gmail.com,Despegar
547,Benjamin Rodriguez,Lisboa,2028-06-13,benjamin.rodriguez547@gmail.com,Google Flights
